recipe_id,influencer,followers,date,media,likes,comments,ingredient_list,servings
9115273,HFI-1,61600,29/07/2022,video,1223,93," 80 gr couscous ,  1 Cucumber ,  60 gr olives ,  2 large Tomatoes ,  70 gr Feta ,  50 gr rocket ,  4 tbsp cottage cheese ,  20 gr grated cucumber ,  handful of fresh dill ,  handful of mint ,  1 tbsp lemon juice , 1 red onion",2
5303590,HFI-1,61600,26/07/2022,video,992,161,"100 gr cooked beetroot , 2 eggs , 1 egg white , 35 gr oat flour",2
8064139,HFI-1,61600,24/07/2022,video,1367,220,"2 ripe bananas,  100 gr oat flaks,  2 tbsp almond paste,  50 gr blueberries, 50 gr strawberries",2
9382509,HFI-1,61600,22/07/2022,video,873,103,"1 Eggplant,  1 zucchini,  dash of olive oil,  pinch of Pepper,  pinch of salt,  1 tbsp oregano,  1 lemon,  60 gr yogurt,  juice of 1/2 lemon,  2 tbsp pomegranate,  2 handfuls of fresh mint",2
6245069,HFI-1,61600,20/07/2022,video,1187,147,"200 gr Tomatoes,  125 gr corn,  200 gr Sweet potato,  1 avocado,  100 gr Quinoa,  1 Lime,  1 sweet pepper,  175 gr Chickpeas,  handful of Coriander,  2 tsp paprika powder,  1 red onion,  100 ml vegetable yogurt,  juice of 1/2 lime,  1 tsp paprika powder",2
7382408,HFI-1,61600,17/07/2022,video,1582,151,"85 grams of oatmeal,  2 eggs,  85 gr vegetable curd,  1 tbsp agave syrup,  2 tsp baking powder,  1 tbsp lemon juice,  1 tsp vanilla aroma,  1/2 lemon  65 gr blueberries,  2 tsp poppy seeds",2
1655957,HFI-1,61600,15/07/2022,video,2556,254,"600 gr frozen mango,  2 frozen bananas,  juice of 1 lemon,  25 ml almond milk",2
1995568,HFI-1,61600,12/07/2022,video,1021,156,"2 salmon fillets with skin,  3 tbsp teriyaki sauce,  1 tsp Chili oil,  Juice of 1 lime,  pinch of salt, pinch of pepper,  200 gr Green asparagus,  dash of olive oil,  2 Spring onions, handful of sesame seeds,  handful of fresh parsley",2
7387093,HFI-1,61600,08/07/2022,video,1026,127,"2 large sweet potatoes,  2 tsp smoked paprika powder,  1 tsp garlic powder,  pinch of Pepper,  pinch of salt,  dash of olive oil,  200 ml diced tomatoes,  1/2 onion, 2 cloves of garlic,  1 tsp paprika powder,  1 tsp sriracha,  60 ml chips line, 2 tsp lemon juice",2
9854714,HFI-1,61600,05/07/2022,video,1578,163,"150 gr sweet potato,  180 gr pasta,  300 gr sweet pointed pepper,  dash of olive oil,  1 lemon,  pinch of Pepper,  pinch of salt,  100 ml vegetable cooking cream,  hand of fresh basil,  2 hands arugula,  hand of Parmesan,  hand of pine nuts ",2
4422075,HFI-1,61600,03/07/2022,video,1258,191,"70 grams of oat flour,  135 gr quark,  2 eggs,  2 tsp baking powder,  1 tsp vanilla aroma,  80 gr strawberries",2
4557898,HFI-1,61600,01/07/2022,video,1317,132,"1 zucchini of 300 gr,  2 peaches,  1 cucumber,  2 hands fresh thyme,  olive oil,  30 gr pomegranate,  30 gr almonds,  65 gr vegetable yogurt,  juice of 1/2 lemon,  hand of fresh thyme ",2
6641896,HFI-1,61600,28/06/2022,video,1561,162," 2 courgettes , Handful of fresh basil , Handful of fresh parsley , 0.5 tsp turmeric , 1 tbsp pesto , 400 ml water , 1 stock cube , pinch of salt , pinch of pepper , clove of garlic , half an onion",4
2313961,HFI-1,61600,24/06/2022,video,1398,202,"1 aubergine , 1 tbsp Italian herbs , Pinch of pepper , pinch of salt , dash of olive oil , 50 grams small tomatoes , 1/2 red pepper , 6 tbsp tomato sauce , 9 tbsp pesto , Handful of grated cheese , Handful of fresh basil",3
4966347,HFI-1,61600,22/06/2022,video,889,127,"60 gr oat flour , 15 gr cocoa powder , 150 ml almond milk , 75 gr (vegetable) quark , 20 gr dark chocolate chips + pinch of salt , 1 tbsp maple syrup , 1 tsp vanilla aroma , 2 tsp baking powder",2
5845158,HFI-1,61600,15/06/2022,video,1784,193,"1/2 watermelon ,  1 Cucumber ,  Handful of fresh mint ,  60 gr Feta ,  Juice of 12 lime ,  1 tbsp balsamic vinegar ,  1 tbsp Olive oil ,  50 gr hands Arugula ,  Pinch of salt ,  pinch of pepper",1
6770113,HFI-1,61600,14/06/2022,video,702,134,"200 gr white asparagus , 200 gr green asparagus , 150 gr (gluten free) couscous , 200 ml boiling water , 150 gr Green peas , juice from 1 lemon ,  1 handful fresh Parsley ,  1 handful fresh basil ,  Pinch of salt ,  pinch of pepper ,  50 gr feta ,  1 Shallot ,  2 tbsp pesto",2
9439930,HFI-1,61600,10/06/2022,video,990,120,"250 g sweet potato , 40 gr corn salad , 200 gr cucumber , 70 gr pomegranate , 200 gr edamame , 30 gr pistachio nuts , Handful of dill",2
1911144,HFI-1,61600,08/06/2022,video,2276,249,"60 gr oat flour , 1 tsp baking powder , 2 eggs , 100 gr quark , 1 tsp vanilla aroma , 1 tbsp agave syrup , 4 strawberries",2
6529916,HFI-1,61600,03/06/2022,video,1432,155,"150 gr fusilli , 250 gr cherry tomatoes , 175 gr courgette , 120 gr cucumber , 6 sun dried tomatoes , 60 gr feta (vegan) or mozzarella , 20 gr pine nuts , 2,5 tbsp vegan pesto , 1 handful fresh basil , Juice of 1/2 lemon , Dash of olive oil , 2 hands arugula",2
5870238,HFI-1,61600,31/05/2022,video,1816,195,"500 g sweet potato , 100 gr spinach , 100 gr thin green asparagus , Handful of sage , 70 gr macadamia nuts , Juice of 1 lemon , 150 ml cooking cream , Dash of olive oil , 40 gr parmesan , 2 tsp truffle tapenade",3
6122433,HFI-1,61600,26/05/2022,video,1458,219,"95 gr oat flour , 1 tsp baking powder , 0,5 tl baking soda , dash of apple vinegar , 1 tsp vanilla aroma , 80 gr cottage cheese , 60 ml almond milk , 1 tbsp maple syrup , 1 tbsp melted butter , 0.5 tbsp coconut blossom sugar , 2 tsp cinnamon , 50 gr yoghurt , 1 tbsp maple syrup",2
4063967,HFI-1,61600,24/05/2022,video,2584,271,"30 gr Parmesan , 150 gr Risotto rice , 260 cherry tomatoes , 1 lemon , 175 gr red pepper , 250 ml vegetable stock , Pinch of salt , pinch of pepper , 1 garlic clove , 1/4 red onion , Fresh basil",2
6537680,HFI-1,61600,20/05/2022,video,1267,160,"5 Rice sheets , 1 head of Romaine lettuce , 3 carrots , 1/2 Cucumber , 1/2 Mango , 1 Avocado , Handful of sesame seeds , Handful of fresh parsley , 1 Lemon , 2 tbsp peanut butter , 2 tbsp soy sauce , 1 tsp agave syrup",2
2697250,HFI-2,63300,28/07/2022,video,1445,215,"350g penne , 1 onion , 3 cloves of garlic , 1 zucchini , Pinch of salt , Pinch of pepper , 2 avocados , 20 g sunflower seeds , 30 g walnuts , 2 tbsp noble yeast flakes , 200 g peas , 2 handfuls fresh spinach , 2 tbsp olive oil , 350 ml milk , 1 vegetable stock cube",4
5283314,HFI-2,63300,26/07/2022,video,649,118,"4 sweet potatoes , 2 tbsp olive oil , 1 red onion , 1/2 bell pepper , 1 red bell pepper , 200 g cherry tomatoes , 1 tsp cumin powder ,  1 tbsp tomato puree , 400g tin of brown beans , 80 g corn, pinch of pepper, pinch of salt",3
6025900,HFI-2,63300,23/07/2022,video,1085,165,"3 bananas , 10 dates , 200 ml plant-based milk , 275 g buckwheat or oat flour , 80 g almond flour , 1 tsp baking powder , 2 tsp baking soda , 1 tbsp apple cider vinegar , 2 tbsp white coconut paste , 20 g grated coconut , 30 g finely chopped almonds",1
5549699,HFI-2,63300,21/07/2022,video,840,198,"300 g gluten-free couscous , 2 tbsp olive oil , 2 cloves of garlic , 200 g asparagus tips , 350 g cherry tomatoes ,  pinch of pepper , pinch of salt , 2 tbsp lemon juice , 200 g lettuce , 265 g brown lentil ,  1 can of artichoke hearts ,  40 g finely chopped peanuts , cup of honey mustard dressing",4
8286200,HFI-2,63300,16/07/2022,video,762,120,"250 g orzo , 200 g asparagus tips ,  1 yellow bell pepper , 1 green bell pepper , 1 red onion ,  1 red bell pepper , 250 gr cherry tomatoes , dash of Olive oil, , pinch or garlic powder , pinch or cumin powder , pinch of pepper , pinch or salt , 300 g brown lentils ,  2 avocados , 150 g arugula, cup of garlic dressing",4
